City,Name,District,Population
Athenai,Greece,Attika,772072
Thessaloniki,Greece,Central Macedonia,383967
Pireus,Greece,Attika,182671
Patras,Greece,West Greece,153344
Peristerion,Greece,Attika,137288
Herakleion,Greece,Crete,116178
Kallithea,Greece,Attika,114233
Larisa,Greece,Thessalia,113090
