Code,Name,Continent,Region,Population,Capital
EGY,Egypt,Africa,Northern Africa,68470000,Cairo
DZA,Algeria,Africa,Northern Africa,31471000,Alger
SDN,Sudan,Africa,Northern Africa,29490000,Khartum
