City,Name,District,Population
La Matanza,Argentina,Buenos Aires,1266461
Lomas de Zamora,Argentina,Buenos Aires,622013
Quilmes,Argentina,Buenos Aires,559249
Almirante Brown,Argentina,Buenos Aires,538918
La Plata,Argentina,Buenos Aires,521936
Mar del Plata,Argentina,Buenos Aires,512880
Lanús,Argentina,Buenos Aires,469735
